title,body,tags,score
Convert u8 array to base64 string in Rust,"<p>I have an array of <code>u8</code> in Rust. How would I go about converting these to a <code>String</code> representing them as base64?</p>
",<arrays><string><rust><type-conversion><base64>,17
Multichannel blind deconvolution in the simplest formulation: how to solve?,"<p>Recently I began to study deconvolution algorithms and met the following acquisition model:</p>

<p><img src=""https://latex.codecogs.com/gif.latex?g(x,%20y)%20=%20(f%5Cast%20h)(x,y)%20&plus;%20n(x,y)"" alt=""acquisition model""></p>

<p>where <em>f</em> is the original (latent) image, <em>g</em> is the input (observed) image, <em>h</em> is the point spread function (degradation kernel), <em>n</em> is a random additive noise and * is the convolution operator. 
If we know <em>g</em> and <em>h</em>, then we can recover <em>f</em> using Richardson-Lucy algorithm:</p>

<p><img src=""https://latex.codecogs.com/gif.latex?%5Cbegin%7Bmatrix%7D%20f_0%20=%20g;%5Cqquad%5Cqquad%5Cquad%5C%20%5C%20%5C%5C%20f_%7Bi&plus;1%7D%20=%20f_i%5Cleft(%5Ctilde%7Bh%7D%5Cast%5Cfrac%7Bg%7D%7Bf_i%5Cast%20h%7D%5Cright)%20,%20%5Cend%7Bmatrix%7D"" alt=""Richardson-Lucy algorithm""></p>

<p>where <img src=""https://latex.codecogs.com/gif.latex?%5Ctilde%7Bh%7D(x,y)%20=%20h(W-x%20-%201,H-y%20-%201)"" alt=""tilde_h"">, <em>(W,H)</em> is the size of rectangular support of <em>h</em> and multiplication and division are pointwise. Simple enough to code in C++, so I did just so. It turned out that <img src=""https://latex.codecogs.com/gif.latex?f_i"" alt=""f_i""> approximates to <em>f</em> while <em>i</em> is less then some <em>m</em> and then it starts rapidly decay. So the algorithm just needed to be stopped at this <em>m</em> - the most satisfactory iteration.</p>

<p>If the point spread function <em>g</em> is also unknown then the problem is said to be blind, and the modification of Richardson-Lucy algorithm can be applied:</p>

<p><a href=""https://i.stack.imgur.com/iIiSX.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/iIiSX.png"" alt=""bling_richarson_lucy""></a>
</p>

<p>For initial guess for <em>f</em> we can take <em>g</em>, as before, and for initial guess for <em>h</em> we can take trivial PSF, or any simple form that would look similar to observed image degradation. This algorithm also works quit fine on the simulated data.</p>

<p>Now I consider the multiframe blind deconvolution problem with the following acquisition model:</p>

<p><img src=""https://latex.codecogs.com/gif.latex?%5Cbegin%7Bcases%7D%20g_1(x,%20y)%20=%20(f%5Cast%20h_1)(x,y)%20&plus;%20n_1(x,y)%5C%5C%20%5Cldots%20%5C%5C%20g_k(x,%20y)%20=%20(f%5Cast%20h_k)(x,y)%20&plus;%20n_k(x,y)%20%5Cend%7Bcases%7D"" alt=""multiframe acquisition model""></p>

<p>Is there a way to develop Richardson-Lucy algorithm for solving the problem in this formulation? If no, is there any other iterative procedure for recovering <em>f</em>, that wouldn't be much more complicated than the previous ones?</p>
",<algorithm><image-processing><signal-processing><inverse><deconvolution>,8
Mac OS X 32-bit nasm assembly program using main and scanf/printf?,"<p>I have spent the entire day trying to get some simple programs compiled but so far very little luck. What I want to do is to compile and run programs written in nasm assembly.</p>

<p>I have upgraded to latest nasm (v2.10.09). So let me just jump into code since I do not know a lot about these things yet. Here is a chunk of assembly code that runs on linux using <code>elf</code> format and linked witch gcc (comments are my understanding of what is going on):</p>

<pre><code>bits 32
extern printf
global main

section .data
    message db ""Hello world!"", 10, 0

section .text
main:
    pushad                      ;push all registers on stack
    push dword message                  ;push the string on stack
    call printf                 ;call printf
    add esp, 4                  ;clear stack
    popad                       ;pop all registers back
    ret                     ;return to whoever called me
</code></pre>

<p>Nothing too big. However how the hell am I supposed to get this to work on OS X? I cant even get it to compile/link in any way. If it compiles I cant link it (something about i386 and x86 which cant be linked together (I understand that but how to fix it?)). I have tried a dozen ways with no luck.</p>

<p>Further more how can I <code>printf</code> and <code>scanf</code> on OS X assembly?</p>

<p>Here is another futile attempt of a <code>scanf</code> and <code>printf</code> the value back (this one actually compiles and links - and even runs!):</p>

<pre><code>[bits 32] ; why the []?

section .data
    input_string    db  ""Enter limit: %d"", 0
    output_string   db  ""Value %d"", 10, 0
    counter         dd  10
    limit           dd  0

;nasm -f macho -o test.o test.asm 
;ld -lc -o test -arch i386 test.o -macosx_version_min 10.7

section .text

global start
extern _printf
extern _scanf
extern _exit

start:
    push ebp                ;push stack base
    mov ebp, esp            ;base is now current top
    and esp, 0xFFFFFFF0     ;align the stack - WHY? I just googled this?

    sub esp, 16             ;16 bytes for variables - 16 to keep the stack ""aligned"". WHY?

    mov dword[esp], input_string         ;ordinary push just isint good nuff for mac... WHY?
    mov dword[esp + 4], limit
    call _scanf                          ;does scan something but doesnt print the message, it just scans and then prints the message

    mov eax, [limit]                      ;since i cant push this lets put it in eax first


    mov dword[esp + 8], output_string     ;push the output string. WHY again MOV?
    mov dword[esp + 12], eax              ;and the previusly ""scanned"" variable
    call _printf                          ;print it out

    mov dword[esp], 0       ;return value
    call _exit              ;return
</code></pre>

<p>Compiled it with: <code>nasm -f macho -o test.o test.asm</code> and linked it with <code>d -lc -o test -arch i386 test.o -macosx_version_min 10.7</code>. Doesnt work properly. On linux its super easy to to this scanf and printf thingie. What's up here? Can it be done simpler?</p>

<p>I do not want to add more stuff to this question since people sometimes see a big question and thing ""meh, too long, wont read"". But if anyone requests more info I'll do my best.</p>

<p>Please help me since I cant figure it out.</p>

<p><strong>EDIT</strong>
The first one compiles using <code>nasm -f macho -o out.o test.asm</code> but doest link using <code>gcc -o test out.o</code> or by using <code>ld -lc -o test -arch i386 out.o -macosx_version_min 10.7</code> and appending flat <code>-arch i386</code> doesnt solve it either. I would love if I could write that ""linux like"" assembly since I do not have to worry about stack alignment and stuff like that.
gcc error says:</p>

<pre><code>ld: warning: ignoring file out.o, file was built for i386 which is not the architecture being linked (x86_64): out.o
Undefined symbols for architecture x86_64:
  ""_main"", referenced from:
      start in crt1.10.6.o
ld: symbol(s) not found for architecture x86_64
</code></pre>

<p>and ld error is as follows:</p>

<pre><code>Undefined symbols for architecture i386:
  ""printf"", referenced from:
      main in out.o
  ""start"", referenced from:
     -u command line option
ld: symbol(s) not found for architecture i386
</code></pre>

<p>Please help.</p>
",<c><macos><gcc><assembly><nasm>,5
Why one should prefer using CSS over XPath in IE?,"<p>I am working on an application which is compatible only with IE7 and IE8. I didn't know why but some suggested to use CSS over XPath while identifying the elements in IE. When I visited the official Selenium site. I read the message </p>

<blockquote>
  <p>WebDriver uses a browser’s native XPath capabilities wherever possible. On those browsers that don’t have native XPath support, we have provided our own implementation. This can lead to some unexpected behaviour unless you are aware of the differences in the various xpath engines.</p>
</blockquote>

<p>I would like to know where I can find the differences in the various xpath engines and in which situations I should use CSS and and in which XPath specifically if I'm using IE. Thanks.</p>
",<java><css><xpath><selenium><webdriver>,5
Core Audio (Audio Units) audio session and MPVolumeView,"<p>I work on a VOIP app.
I use Core Audio Audio Units for playing and recording audio. I need to be able to manipulate sound volume and output devices. I am trying to use MPVolumeView to set sound volume and choose output devices.</p>

<p>My problem is: When I start using(start playout and capture for RemoteIO Audio Unit) Audio Units it seems MPVolumeView no longer control volume of my session but instead it controls system wide sound preferences. At the same time hardware buttons control volume of sounds played by Audio Units. Also when I start using Audio Units MPVolumeView start showing button to change output devices but before that it doesn't.</p>

<p>It seems that MPVolumeView controls sound volume for some system wide audio session but when I start using Audio Units another app wide (or even Audio Unit wide) audio session is created and used to play sound.</p>

<p>So the question is how to make MPVolumeView control sound volume for my Core Audio audio session? </p>

<p>I would appreciate any hints on why this happens. I've spent almost all day googling and I see that some people have related problems but none got any hints :(. I can also post more details if needed. </p>
",<iphone><ios><core-audio><audiounit><mpvolumeview>,5
System.NullReferenceException occurs in xaml designer,"<p>I've created a C++ UWP Windows 10 app using Visual Studio 2015.  However, I'm not able to visualize any xaml in the designer because I'm always getting a <code>System.NullReferenceException</code> error.  How can I fix this?</p>
",<xaml><visual-studio-2015><win-universal-app><windows-10><visual-studio-designer>,9
How do you pass an apostrophe through a URL?,"<p>I'm using <a href=""http://en.wikipedia.org/wiki/Node.js"" rel=""noreferrer"">Node.js</a>:</p>

<pre><code>var s = 'Who\'s that girl?';
var url = 'http://graph.facebook.com/?text=' + encodeURIComponent(s);

request(url, POST, ...)
</code></pre>

<p>This does not work! And Facebook cuts off my text...</p>

<p>Full code:</p>

<pre><code>function postToFacebook(fbid, access_token, data, next){
    var uri = 'https://graph.facebook.com/'+String(fbid)+'/feed?access_token='+access_token;
    var uri += '&amp;' + querystring.stringify(data);
    request({
        'method':'POST',
        'uri': uri,
    },function(err,response,body){
        next();
    });
};


app.get('/test',function(req,res){
    var d = {
        'name':'Who\'s that girl?',
        'link': 'http://example.com',
        'caption': 'some caption...',
        'description': 'some description...',
        'picture': 'http://i.imgur.com/CmlrM.png',
    };
    postToFacebook(req.user.fb.id, req.user.fb.accessToken, d);
    res.send('done');
});
</code></pre>

<p>Facebook gets a blank post on the wall. No text shows. Nothing.</p>

<p>When I log my URI, it is this:</p>

<pre><code>https://graph.facebook.com/1290502368/feed?access_token=2067022539347370|d7ae6f314515c918732eab36.1-1230602668|GtOJ-pi3ZBatd41tPvrHb0OIYyk&amp;name=Who's%20that%20girl%3F&amp;link=http%3A%2F%2Fexample.com&amp;caption=some%20caption...&amp;description=some%20description...&amp;picture=http%3A%2F%2Fi.imgur.com%2FCmlrM.png
</code></pre>

<p>Obviously if you take a look at that URL, you see that the apostrophe is not being encoded correctly.</p>
",<javascript><string><encoding><node.js><facebook-graph-api>,37
array<> can’t simply swap pointers internally,"<p>For the container array&lt;> introduced to STL with TR1, I have a problem below. </p>

<p>In Page 263 of book ""The C++ standard library A Tutorial and Reference"":</p>

<blockquote>
  <p>Note, however, that an array&lt;> can’t simply swap pointers internally. For this reason, swap() has linear complexity and the effect that iterators and references don’t swap containers with their elements.</p>
</blockquote>

<p>I wondered why array&lt;> cannot considering its constant overhead for swapping pointers? </p>
",<c++><arrays><c++11><complexity-theory><swap>,5
Angular/Typescript - Wildcard module declaration,"<p>I'm trying to implement wildcard modules and i don't seem to get it work:</p>

<p>Right now i have the following code which works:</p>

<p><strong>typings.d.ts</strong></p>

<pre><code>declare module ""*.json"" {
  const value: any;
  export default value;
}
</code></pre>

<p><strong>app.component.ts</strong></p>

<pre><code>import { Component, OnInit } from '@angular/core';
import * as es from './i18n/es.json';

@Component({
  selector: 'my-app',
  templateUrl: './app.component.html',
  styleUrls: [ './app.component.css' ]
})
export class AppComponent implements OnInit {
  hello = '-';

  ngOnInit() {
    this.hello = es.default.hello;
  }
}
</code></pre>

<p>You may see a live example <a href=""https://stackblitz.com/edit/angular-z5nw8s"" rel=""noreferrer"">here</a>, however i want to implement <strong>WILDCARDS</strong>, as seen <a href=""https://www.typescriptlang.org/docs/handbook/modules.html"" rel=""noreferrer"">here</a> (typescriptlang) and <a href=""https://www.sitepen.com/blog/2016/09/29/improving-typescript-modules/"" rel=""noreferrer"">here</a> (sitepen):
<a href=""https://i.stack.imgur.com/EfRsu.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/EfRsu.jpg"" alt=""enter image description here""></a></p>

<p>Implementation should allow me to do something like this:</p>

<p><strong>typings.d.ts</strong></p>

<pre><code>declare module ""*.json!i18n"" {
  const value: any;
  export default value;
}

declare module ""*.json!static"" {
  const value: any;
  export default value;
}

declare module ""*!text"" {
  const value: any;
  export default value;
}
</code></pre>

<p><strong>app.component.ts</strong></p>

<pre><code>import { Component, OnInit } from '@angular/core';
import * as es from './i18n/es.json!i18n';
import * as someObject from './static/someObject.json!static';
import * as template1 from './templates/template1.html!text';

@Component({
  selector: 'my-app',
  templateUrl: './app.component.html',
  styleUrls: [ './app.component.css' ]
})
export class AppComponent implements OnInit {
  hello = '-';

  ngOnInit() {
    this.hello = es.default.hello;
    console.log(someObject.default);
    console.log(template1.default);
  }
}
</code></pre>

<p>The issue is that for some reason wildcards are not being correctly recognized... throwing at runtime that ""json"" is not found.</p>

<ul>
<li><strong><em>""Module not found: Error: Can't resolve 'json' in ...""</em></strong></li>
<li><strong><em>""Module not found: Error: Can't resolve 'static' in ...""</em></strong></li>
<li><strong><em>""Module not found: Error: Can't resolve 'text' in ...""</em></strong></li>
</ul>

<p>An example of this feature working is <a href=""https://github.com/Microsoft/TypeScript/issues/5787"" rel=""noreferrer"">here</a> when it was first implemented on Angular 2,</p>

<p>Any idea of what i'm doing wrong??</p>
",<angular><typescript><angular6><angular7><angular-module>,13
Rails: How to downcase non-English string?,"<p>How could I downcase a non-English string in Ruby on Rails 3 ?</p>

<pre><code>str = ""Привет""    # Russian 
puts str[0].ord   # =&gt; 1055
str.downcase!
puts str[0].ord   # =&gt; 1055 (Should be 1087)
</code></pre>

<p>I want it to work in Ruby 1.8.7 as well as Ruby 1.9.2.</p>
",<ruby-on-rails><ruby><string><ruby-on-rails-3><lowercase>,37
Autolayout and shadow,"<p>I've got a problem with adding shadow to my UIView which is created in iOS 6 application with Autolayout.</p>

<p>Let's assume I have a method that adds a shadow on the bottom of UIView (this is actually a Category of UIView, so it's reusable):</p>

<pre><code>- (void) addShadowOnBottom {
    self.layer.shadowOffset = CGSizeMake(0, 2);
    self.layer.shadowOpacity = 0.7;
    self.layer.shadowColor = [[UIColor blackColor] CGColor];
    self.layer.shadowPath = [UIBezierPath bezierPathWithRect:self.bounds].CGPath;
}
</code></pre>

<p>When I call this method in <code>viewDidLoad</code> of some UIViewController, shadow is not added, probably due to all constraints, that have to be calculated.</p>

<p>When I call this method in <code>viewWillAppear</code> the same situation.</p>

<p>When I call this method in <code>viewDidAppear</code> it works, but when new view shows up there is a short moment when there is no shadow and it appears after a while.</p>

<p>If I resign from setting the shadowPath and remove line <code>self.layer.shadowPath</code> everything works, but view transitions are not smooth.</p>

<p>So my question is what is the right way to add a shadow to view in iOS 6 with Autolayout turned on ?</p>
",<ios><objective-c><xcode><ios6><autolayout>,10
Testing an Entity Framework database connection,"<p>I have an app that connects to a MYSQL database through the entity framework. It works 100% perfectly, but I would like to add a small piece of code that will test the connection to the database upon app startup.</p>

<p>I had the idea of simply running a tiny command to the database and catching any exceptions, however if there is a problem (eg App.Config missing or Database server down) the app takes a huge amount of time to run this code and then throw the exception (~1 min). I imagine this is due to connection timeouts etc but I have fiddled with such properties to no avail.</p>

<p>Would anyone be able to assist with any ideas as to where to go?</p>
",<c#><mysql><entity-framework><testing><database-connection>,69
