title_lemmatized,body_lemmatized,tags_transformed
['python opencv classify gender using orb features and knn'],"['task classify images of human faces as female or male', 'training images with labels are available obtain the test image from webcam', 'using python 27 opencv 244 i am using orb to extract features from a grayscale image which i hope to use for training a knearest neighbor classifier', 'each training image is of a different person so the number of keypoints and descriptors for each image are obviously different', 'my problem is that im not able to understand the opencv docs for knn and orb', 'ive seen other so questions about orb knn and flann but they didnt help much', 'what exactly is the nature of the descriptor given by orb', 'how is it different than descriptors obtained by brief surf sift etc', 'it seems that the feature descriptors should be of the same size for each training sample in knn', 'how do i make sure that the descriptors are of the same size for each image', 'more generally in what format should features be presented to knn for training with given data and labels', 'should the data be an int or float', 'can it be char', 'the training data can be found here', 'i am also using the haarcascadefrontalfacealtxml from opencv samples right now the knn model is given just 10 images for training to see if my program passes without errors which it does not', 'here is my code import cv2 from numpy import float32 as npfloat32 def choosecascade todo option for diferent cascades haar classifier for frontal face cascade cv2cascadeclassifierhaarcascadefrontalfacealtxml return cascade def croptoobjcascadeimagefile load as 1channel grayscale image image cv2imreadimagefile0 crop to the object of interest in the image objregion cascadedetectmultiscaleimage todo what if multiple ojbects in image', 'x1 objregion00 y1 objregion01 x1pluswidth objregion00objregion02 y1plusheight objregion01objregion03 objimage imagey1y1plusheightx1x1pluswidth return objimage def recognizerfilenames orb contructor orb cv2orbnfeatures100 keypoints descriptors a cascade for face detection haarfacecascade choosecascade start processing images for imagefile in filenames find faces using the haar cascade faceimage croptoobjhaarfacecascadeimagefile extract keypoints and description facekeypoints facedescriptors orbdetectandcomputefaceimage mask none print facedescriptorsshape descrow facedescriptorsshape0 desccol facedescriptorsshape1 flatfacedescriptors facedescriptorsreshapedescrowdesccolastypenpfloat32 keypointsappendfacekeypoints descriptorsappendflatfacedescriptors print descriptors knn model and training on descriptors responses for name in filenames if namestartswithbf responsesappend0 female else responsesappend1 male knn cv2knearest knntrainsuccess knntraindescriptors responses isregression false isregression false implies classification obtain test face image from cam capture cv2videocapture0 closecamera 1 whileclosecamera 0 retval camimage captureretrieve find face in camera image testfaceimage haarfacecascadedetectmultiscalecamimage todo what if multiple faces', ' keyponts and descriptors of test face image testfacekp testfacedesc orbdetectandcomputetestfaceimage mask none testdescrow testfacedescshape0 flattestfacedesc testfacedescreshape1testdescrowtestdesccolastypenpfloat32 args in knnfindnearest testdata neighborhood returnedvalue result neighborresponse distance knnfindnearestflattestfacedesc3 print returnedvalue result neighborresponse distance display results todo overlay classification text cv2imshowtestimage camimage closecamera cv2waitkey1 cv2destroyallwindows if name main filenames bf09nesgrayjpg bf11nesgrayjpg bf13nesgrayjpg bf14nesgrayjpg bf18nesgrayjpg bm25nesgrayjpg bm26nesgrayjpg bm29nesgrayjpg bm31nesgrayjpg bm34nesgrayjpg recognizerfilenames currently i am getting an error at the line with knntrain where descriptors is not detected as a numpy array', 'also is this approach completely wrong', 'am i supposed to use some other way for gender classification', 'i wasnt satisfied with the fisherface and eigenface example in the opencv facerec demo so please dont direct me to those', 'any other help is much appreciated', 'thanks', ' edit ive tried a few things and come up with an answer', 'i am still hoping that someone in so community can help me by suggesting an idea so that i dont have to hardcode things into my solution', 'i also suspect that knnmatchnearest isnt doing what i need it to do', 'and as expected the recognizer is not at all accurate and very prone to giving misclassification due to rotation lighting etc', 'any suggestions on improving this approach would be really appreciated', 'the database i am using for training is karolinska directed emotional faces']","python,opencv,image-processing,classification,image-recognition"
['is it possible to implement liftm2 in scala'],"['in haskell liftm2 can be defined as liftm2 monad m a1 a2 r m a1 m a2 m r liftm2 f m1 m2 do x1 m1 x2 m2 return f x1 x2 id like to translate this to scala', 'my first attempt was the following def liftm2t1 t2 r mf t1 t2 rma mt1 mb mt2 mr for a ma b mb yield fa b this fails in what i guess is the most obvious way possible value flatmap is not a member of type parameter mt1', 'right i havent indicated that m is some kind of monad', 'so the next thing i tried was to define some structural type like type monada def flatmapbf a monadb monadb and to have ma monada', 'but that doesnt work because scala doesnt have recursive structural types', 'so the next few things i tried involved gyrations similar to ma filtermonadica ', 'those all failed probably because i wasnt able to figure out the right implicitfu for canbuildfrom', 'the most closelyrelated question i could find here on stackoverflow was this one touching both on recursive structural types and how to mimic haskells typeclasses in scala', 'but that approach requires defining an implicit conversion from each type you care about to the trait defining the typeclass which seems terribly circular in this case is there any good way to do what im trying to do']","scala,haskell,monads,typeclass,lifting"
['error indexjs cannot find module babelpluginr react native'],"['what i have done to cause the error i have a freshly installed bare react native project ', 'i wanted to use drawer navigation and had to install react native reanimated 230alpha2 ', 'what i have already tried to resolve the error i have installed fresh bare react native project cleared metro cache tried to use reanimated 200 i have followed all the steps from error bundle indexjs error indexjs cannot find module babelpluginr require stack dworkreact nativereact native with nodehealthappnodemodulesbabelcorelibconfigfilespluginsjs dworkreact nativereact native with nodehealthappnodemodulesbabelcorelibconfigfilesindexjs dworkreact nativereact native with nodehealthappnodemodulesbabelcorelibindexjs dworkreact nativereact native with nodehealthappnodemodulesmetrotransformworkersrcindexjs dworkreact nativereact native with nodehealthappnodemodulesmetrosrcdeltabundlerworkerjs dworkreact nativereact native with nodehealthappnodemodulesmetronodemodulesjestworkerbuildworkersprocesschildjs']","android,react-native,react-navigation,navigation-drawer,react-native-reanimated-v2"
['error javanetsocketexception too many open files at deployment phase in jbossportal272'],"['when start the jbossportal272 at some point in the log message 20130130 203202541 error orgapachetomcatutilnetjioendpoint socket accept failed javanetsocketexception too many open files at javanetplainsocketimplsocketacceptnative method at javanetplainsocketimplacceptplainsocketimpljava408 at javanetserversocketimplacceptserversocketjava462 at javanetserversocketacceptserversocketjava430 at orgapachetomcatutilnetdefaultserversocketfactoryacceptsocketdefaultserversocketfactoryjava61 at orgapachetomcatutilnetjioendpointacceptorrunjioendpointjava309 at javalangthreadrunthreadjava662 in the deploy folder a total of 20 war modules', 'any solutions']","java,file-io,jboss,socketexception,jboss-portal"
['on windows is there a lightweight ide that can be used both with c and perl'],"['when i asked this previously i should have mentioned that its particularly a lightweight ide that im after so im having to ask again as a different question', 'something that is not just a text editor is lightweight and versatile that would suit strawberry perl the gcc that comes with mingw gdb and subversion', 'something that when i want to use it is straightaway available and is also fast to shut down preserving all my work', 'it doesnt matter if its not a free or opensource program what does matter is that its stable and is comfortable to use', 'maybe trying to have one ide to use for both c and perl is the wrong way to go about it resulting in a solution thats not going to handle either one language or the other as well as a dedicated ide would']","windows,perl,svn,ide,gnu-toolchain"
['migrating java treemap code to scala'],"['i am migrating my java code base to pure scala and i am stuck on this one piece of code', 'i have an implementation of an intervalmap ie', 'a data structures that lets you efficiently map ranges fromto to values where the set delete and get operations are all olog n slightly different from an intervaltree or a segmenttree', 'this code uses javas javautiltreemaps and while migrating to scala i ran into 2 big issues scala has no mutabletreemap i decided to go around it by using mutabletreeset oddly scala has mutabletreeset but no mutabletreemap for storing the keys and storing the values in an auxiliary mutablemap', 'this is an unpleasant hack but is there any better way', 'next problem is scalas mutabletreeset has no equivalent of javautiltreesets ceilingkey floorentry pollfirst polllast which are all olog n operations in java', 'so how can i best migrate my code to scala', 'what are the best practices in these situations', 'i really do not want to write my own tree implementations', 'is there a more idiomatic scala way of writing intervalmaps that i am not aware of', 'or is there some reputable library out there', 'or does scala just plain suck here with its gimped treeset and nonexistent treemaps', 'ofcourse i can just use javas treemap in scala but that is ugly and i lose all the nice scala collection features and i might as well use java then', 'here is my current java code']","java,scala,scala-collections,treemap,treeset"
['avoiding false positives with clangs threadsanitizer and tbb'],"['has anyone tried clangs threadsanitizer with intel threading building blocks tbb', 'my experience so far was that you will get a lot of warnings even for relatively simple examples', 'unfortunately many of them seem to be false positives', 'in this answer to another threadsanitizer question suppression files are recommended', 'could that help', 'is there a suppression file for tbb or any other technique', 'side note with helgrind it looks similar', 'many false positives']","c++,clang,race-condition,tbb,thread-sanitizer"
['different results when r script is automated'],"['the following command executes ghostscript on a pdf file', 'the pdffile variable contains the path to that pdf bbox systempaste cgsgs864bingswin32cexe sdevicebbox dnopause dbatch f pdffile 21 interntrue after execution bbox includes the following character string', 'gpl ghostscript 864 20090203 copyright c 2009 artifex software inc all rights reserved', 'this software comes with no warranty see the file public for details', 'processing pages 1 through 1 page 1 boundingbox 36 2544 248 2825 hiresboundingbox 36395015 2544659922 247070032 2824685914 error undefinedfilename in 21 operand stack execution stack interpexit runexec2 nostringval nostringval nostringval 2 stoppedpush nostringval nostringval nostringval false 1 stoppedpush dictionary stack dict11471684rog dict120g dict69200l current allocation mode is local last os error no such file or directory gpl ghostscript 864 unrecoverable error exit code 1 this string is then manipulated in order for the boundingbox dimensions 36 2544 248 2825 to be isolated and used for cropping the pdf file', 'so far everything works ok however when i schedule this script in task manager using rscriptexe or rcmdexe batch or when the script is inside an r chunk and i press knit html bbox gets the following character string which lacks the boundingbox information and makes it unusable gpl ghostscript 864 20090203 copyright c 2009 artifex software inc all rights reserved', 'this software comes with no warranty see the file public for details', 'processing pages 1 through 1 page 1 error undefinedfilename in 21 operand stack execution stack interpexit runexec2 nostringval nostringval nostringval 2 stoppedpush nostringval nostringval nostringval false 1 stoppedpush dictionary stack dict11471684rog dict120g dict69200l current allocation mode is local last os error no such file or directory how can i get over this problem and have the script run automated', 'the script comes from the accepted answer to that question']","windows,r,redirect,automation,ghostscript"
['how to plot time series in python'],"['i have been trying to plot a time series graph from a csv file', 'i have managed to read the file and converted the data from string to date using strptime and stored in a list', 'when i tried plotting a test plot in matplotlib with the list containing the date information it plotted the date as a series of dots that is for a date 2012may31 1900 i got a plot with a dot at 2012 05 19 31 00 on yaxis for the value of x1 and so on', 'i understand that this is not the correct way of passing date information for plotting', 'can someone tell me how to pass this information correctly']","python,matplotlib,datetime,plot,time-series"
['compiling nasm on mac osx'],"['writing a compiler in school last milestone is generating assembly code', 'trying to learn nasm', 'starting at the beginning trying to compile a hello world', ' helloworldasm this is a win32 console program that writes hello world on one line and then exits', 'it needs to be linked with a c library', ' global main extern printf section text main push message call printf add esp 4 ret message db hello world 10 0 to assemble link and run this program under windows nasm fwin32 helloworldasm gcc helloworldobj a under linux youll need to remove the leading underscores from function names and execute nasm felf helloworldasm gcc helloworldo aout but im on osx', 'found this little resource in mac os x we should use format macho nasm f macho o helloo helloasm and for the linker we need to specify the entry point ld e main o hello helloo but when i do this undefined symbols printf referenced from main in helloo ld symbols not found for inferred architecture i386 sorry i know its a lot to read', 'and i doubt there are many nasm coders around these parts but worth a try right', 'id appreciate any help i can get']","macos,gcc,compiler-construction,linker,nasm"
['dagger hilt scope dependencies for parentchildfragments'],"['i am trying to find a solution in how to define hilt in a certain fragment related scenario', 'i have the following setup activity parent fragment 1 child fragment 1 child fragment 2 child fragment n1 parent fragment 2 child fragment 1 child fragment 2 child fragment n1 parent fragment 1 is using the dependency a the instance of that dependency is something i want to share only between that parent fragment and all of its child fragments', 'the parent fragment 2 its child fragments should use a different instance than the parent fragment 1 children', 'generally his structure should have only two instances of any given dependency one for the first flow and one for the second', 'i can see that a custom scope might work here but i am uncertain about how to use that in regards to hilt']","android,android-fragments,dagger-2,dagger,dagger-hilt"
['how can i send audience field in oauth2token call made by swaggerui'],"['i am using swaggerui with swashbuckle v56 to document an auth0 oauth2 secured net web api', 'ive been trying to configure swagger to obtain a token in the ui from auth0 service', 'so far ive managed to do that but the problem is that i need to send in the post token requests body the audience field and i am struggling to find out how to do that from swaggerconfigcs', 'so far my swaggerconfigcs looks like this public class swaggerconfig public static void register var thisassembly typeofswaggerconfigassembly string appname myapi var audience systemconfigurationconfigurationmanagerappsettingsauthaudience string tokenurl somethingsomethingoauthtoken globalconfigurationconfiguration enableswaggerc csingleapiversionv1 myapi cincludexmlcommentsstringformat0binmyapixml systemappdomaincurrentdomainbasedirectory cdescribeallenumsasstrings coauth2oauth2 descriptionclient credentials grant flow flowpassword tokenurltokenurl scopesscopes scopesaddmyapi openid profile email address phone coperationfilterassignoperationfilters cdocumentfiltersecurityrequirementsdocumentfilter enableswaggeruic var clientid systemconfigurationconfigurationmanagerappsettingsauth0apiclientid var clientsecret systemconfigurationconfigurationmanagerappsettingsauth0apiclientsecret var additionalparams new dictionarystring string audience audience cenableoauth2supportclientid clientsecret appname tmdq additionalquerystringparams additionalparams ']","c#,oauth-2.0,swagger,swagger-ui,swagger-2.0"
['why cant i get the argument count of a template function at compiletime'],"['include cstddef templatetypename types constexpr stdsizet getargcounttypes noexcept return sizeoftypes struct a int n void f staticassertgetargcountn 0 not ok why ', ' int main int n staticassertgetargcountn 0 ok why cant i get the argument count of a template function at compiletime', 'error message 1testcpp 1testcpp1745 error c2131 expression did not evaluate to a constant 1testcpp1742 message failure was caused by a read of a variable outside its lifetime 1testcpp1742 message see usage of this']","c++,c++11,language-lawyer,constexpr,static-assert"
['how do i organise throwing businesslogic exceptions in nestjs services'],"['i have a few doubts regarding this github issue discussion i want to throw businessdomain exceptions from my services methods as shekohex suggested', 'i wonder where exactly should i keep them', 'i believe many of them will be quite similiar across domains like entitynotfoundexception actionforbiddenexception etc', 'so it would make sense to keep them on the application level some kind of shared module', 'on the other hand that makes particular domain less independent for example what if i need to extract few of them into another application some time in the future', 'what is more some of the exceptions can be domainspecific and id have to keep them inside appropriate domain modules structure', 'lets assume i do keep some of them in the shared module and the rest in the individual domain catalogues', 'how do i map them to the proper httpexceptions', 'if i make global exception filter i also make my domain controllers even more dependent on the applicationlayer', 'how do i map domainspecific exceptions', 'do i create another modulelevel exception filter', 'is creating global or modulelevel filters a way to go', 'decorating every endpoint with usefilters seems pretty cumbersome', 'thanks in advance for your input']","javascript,node.js,typescript,architecture,nestjs"
['scaling solutions for mysql replication clustering'],"['at the startup im working at we are now considering scaling solutions for our database', 'things get somewhat confusing for me at least with mysql which has the mysql cluster replication and mysql cluster replication from ver', '516 which is an asynchronous version of the mysql cluster', 'the mysql manual explains some of the differences in its cluster faq but it is hard to ascertain from it when to use one or the other', 'i would appreciate any advice from people who are familiar with the differences between those solutions and what are the pros and cons and when do you recommend to use each']","mysql,replication,scaling,cluster-computing,database-cluster"
['how can i configure gmail in android emulator'],"['i want to send email from emulator', 'how can i configure the emulator ']","android,email,configuration,gmail,emulation"
['what is the recommended toolchain for formatting xml docbook'],"['ive seen best tools for working with docbook xml documents but my question is slightly different', 'which is the currently recommended formatting toolchain as opposed to editing tool for xml docbook', 'in eric raymonds the art of unix programming from 2003 an excellent book', ' the suggestion is xmlfo xml formatting objects but ive since seen suggestions here that indicated that xmlfo is no longer under development though i can no longer find that question on stackoverflow so maybe it was erroneous', 'assume im primarily interested in unixlinux including macos x but i wouldnt automatically ignore windowsonly solutions', 'is apaches fop the best way to go', 'are there any alternatives']","xml,apache,pdf,apache-fop,docbook"
"['android extending users contact book', 'performance contentprovider vs sqlite vs list in memory']","['me and my android team have a problem', 'we have an app that present the users contact book with extended information', 'current setup our app reads the contacts provider of the android os', 'sends this information to our server that calculates a couple of necessary fields for us', 'this information is later fetched by our app and we save this information in an sqlite database', 'what we end up with in our database is two tables', 'one with all numbers and all the extra information that the server calculated for us', 'the other table is one with all contacts one contact can have multiple numbers', 'this contacts table was created only for performance we can have a cursor selecting all rows in this contacts table in our cursoradapter when presenting the contact book for the user', 'hence when presenting the contact book to the user we only need to read from our own sqlite database and only one table eg', 'no joins', 'the main problem there is a lot of syncing going on', 'since data is duplicated we need to check for addschangesremoves and need to sync all the fing time', 'moreover when we now are about to change a particular thing in our presentation layer we need to change our contacts table to include this particular information', 'priority for us 1st performance when presenting the contact book to the user', '2nd code maintainability', 'hence do not comment do not duplicate dataits the root of all problems', 'it is more important to us that the user does not have performance issues than if we as developers have to spend some extra time writing good synchronization algorithms', 'solution', 'i dont know why but ive always thought that a cursoradapter reading all rows from one table is performing much better than an arrayadapter with a list of objects held in memory', 'anyone know if this is true', 'because one solution which will help us at least half the way is to on start up join the contacts provider native contact book and our extended information save this in a list in memory and present this with an arrayadapter', 'creating your own content providers', 'i know little about creating your own content provider', 'anyone tried to create a content provider that extend the information of the native contact book and join these', 'maybe with the implementation of this interface contactscontractdatacolumnswithjoins', 'anyone tried anything similar', 'hows the performance when presenting this information in a cursoradapter', 'please ask for any more information i might have forgot and i will update the question', 'thanks a lot in advance for all helpful tips and solutions']","android,performance,sqlite,android-contentprovider,android-cursoradapter"
['translating wp with and sprintf'],"['im trying to translate wp theme', 'i have this code translation getcolor textdomain it works i get color dynamically from getcolor function and it translates well', 'but when i use theme check plugin i get error for this code', 'i need to use this instead translation sprintf s textdomain getcolor but in that case my placeholder s doesnt translates and i get original color name not translated', 'what im doing wrong', 'thank you']","php,wordpress,internationalization,gettext,translate"
['looking for a net buildserver saas'],"['ive a question regarding build servers for net projects', 'currently im using teambuild in conjunction w tfs 2010 to do automated builds in the net world', 'some older projects are built using plain old msbuild scripts', 'to get rid of the administrative effort im currently moving my sources to github', 'github offers as many other sites service hooks to trigger build servers for doing automated builds such as ci or nightly builds', 'sure i could use teamcity onpremise and dynamically create build agents in windows azure using vmrole and virtual disks but i think this hybrid solution is a little bit moronic', 'so what are your thoughts about the following architectural idea', 'lets say youre using github as source control platform', 'when commiting sources to your repository an azure webrole hosting a wcf service will be triggered', 'the webrole itself will just use the azure api to fire up a new instance of a custom azure vmrole', 'the azure vmrole itself will use some kind of buildscript such as rake or msbuild to have as few developer tools installed on the build agent as needed', 'after building the entire project the artifacts will be published to azure blobstorage and the webrole hosting the wcf service will be called again but right now the azure webrole is going to terminate the buildagent', 'while using such a setup you could minimize the costs for the build agent and build nearly any kind of project as far as youre able to install the required element for the build by using powershell', 'so in bottom line what are your thoughts on this architecture', 'other ideas', 'is there an existing service offering such a solution', 'thorsten']","build,azure,continuous-integration,saas,azure-vm-role"
['how do i use properly casewhen in mysql'],['here is a demo query notice it is very simple fetches only where baseprice is 0 and still it chooses the condition 3 select case courseenrollmentsettingsbaseprice when courseenrollmentsettingsbaseprice 0 then 1 when courseenrollmentsettingsbaseprice101 then 2 when courseenrollmentsettingsbaseprice100 and courseenrollmentsettingsbaseprice201 then 3 else 6 end as calcbaseprice courseenrollmentsettingsbaseprice from courseenrollmentsettings where courseenrollmentsettingsbaseprice 0 baseprice is decimal80 when run this on my db i get 3 0 3 0 3 0 3 0 3 0'],"mysql,sql,conditional-statements,switch-statement,case"
['how to get attribute value for an assembly in cecil'],"['is there a way to get str1 in code ', 'myattributestr1 class x the instance of monocecilcustomattributefields is empty']","c#,.net,mono,metadata,mono.cecil"
['run junit test class inside onejar with junit outside the jar'],"['so i have packed my classes and their dependancies apache commons cli inside a jar file using onejar which was easy enough to do see section commandline approach', 'now i am curious if i can run the java test class inside the jar using a junit jar outside the class', 'so the path to the test class inside swjar is swjarmainswjaruoadiys11hw2testsmithwatermanclass the main is a onejar thing', 'i have tried variations of java jar cp libjunitjar orgjunitrunnerjunitcore uoadiys11hw2testsmithwaterman with no luck so what would the command line be ', 'or do i need to modify the onejar manifest somehow ', 'edit the bootmanifestmf manifestversion 10 mainclass comsimontuffsonejarboot onejarmainclass uoadiys11hw2hw2 while the metainfmanifestmf manifestversion 10 createdby 17009 oracle corporation mainclass comsimontuffsonejarboot onejarmainclass uoadiys11hw2hw2']","java,command-line,jar,junit,executable-jar"
['only show command in context menu on specific filename extension'],"['so basically i only want to display the command when i right click on a file named examplecs', 'since i am using visual studio 2019 i cant go with the old beforequerystatus way', 'instead using the provideuicontextrule attribute on my package class', 'which currently looks something like this provideuicontextruleuicontextsupportedfiles name supported files expression csharp termnames new csharp termvalues new hiersingleselectionnamecs which totally looks fine for the extension of the file itself', 'so is there any way to restrict it to examplecs', 'by the way i am using this guide']","visual-studio,contextmenu,visual-studio-extensions,vsix,visual-studio-2019"
['iterate between each input to validate value'],"['i have this code which validate the inputs value if empty and shows the message error with a twitter bootstrap popover documentonready loginevents function loginevents userid passwordonchange validateempty loginbuttononclick validateall function validateempty input this inputpopoveranimation true placement right trigger manual title field is empty content inputattrdataemptymessage isvalid true ifinputval inputpopovershow isvalid false else inputpopoverhide return isvalid this works perfectly when the change event is done but i want to do another function which will iterate between each input in the form validate if its empty validateempty and preventdefault if any are empty', 'as you can see i have the click event setup for the loginbutton to run the validateall function which i have something like this but cannot figure out a right way to do it function validateallevent loginform inputeachvalidateempty ']","jquery,forms,validation,each,preventdefault"
['javascript scroll effect is not working in angularjs controller'],"['html div classscrollersize div classscroller scrollerleft stylepaddingtop 25pxi classglyphicon glyphiconchevronleftidiv div classscroller scrollerright stylepaddingtop 25pxi classglyphicon glyphiconchevronrightidiv div classwrapper styleheight73px ul classnav navtabs list idmytab li ngrepeatpf in printlistimg styleimagerendering webkitoptimizecontrast imagerendering optimizequality classimgresponsive pullright ngsrcpfimagepath ngclickpfselectfile pfselectfile showcustomeventpfli ul div div javascript var hidwidth var scrollbarwidths 20 var widthoflist function var itemswidth 0 list lieachfunction var itemwidth thisouterwidth itemswidth itemwidth return itemswidth var widthofhidden function return wrapperouterwidth widthoflist getleftposi scrollbarwidths var getleftposi function return listpositionleft var readjust function if wrapperouterwidth widthoflist scrollerrightshow else scrollerrighthide if getleftposi 0 scrollerleftshow else itemanimateleft getleftposi px slow scrollerlefthide readjust windowonresize function e readjust windowonload function e readjust scrollerrightclickfunction scrollerleftfadeinslow scrollerrightfadeoutslow listanimateleft widthofhidden px slow function scrollerleftclickfunction scrollerrightfadeinslow scrollerleftfadeoutslow listanimateleft getleftposi px slow function css wrapper width 100 whitespace nowrap overflowy hidden overflowx scroll webkitoverflowscrolling touch padding 1rem backgroundcolor white toggle this depending upon whether you want to see the scrollbar webkitscrollbar display none internal display inline list positionabsolute left0px top0px minwidth3000px marginleft12px margintop0px list li displaytablecell positionrelative textaligncenter cursorgrab cursorwebkitgrab colorefefef verticalalignmiddle scroller textaligncenter cursorpointer displaynone padding7px paddingtop11px whitespace nowrap verticalalignmiddle backgroundcolorfff scrollerright floatright scrollerleft floatleft scrollersize height auto margintop 1 navtabs borderbottom 0px solid transparent important i used this code in angularjs controller its working fine', 'but i need when i click the left or right arrow it showing start and end files my intention is it must show the file depends on the screen for example like for 5s 3 files for 6s 4 filesi tried to change the javascript stucking badly to fix the scroll issueanyone can help me to fix this issue']","javascript,jquery,html,css,angularjs"
['angularjs and webpack integration'],"['i am looking for some help with using webpack for a large angularjs application', 'we are using folder structure based on feature each featurepage has a module and they have controllers directives', 'i have successfully configured webpack to get it working with grunt which produces one single bundle', 'i want to create chunks as its going to be a large app we would like to load modules pagefeature artifacts asynchronously', 'i am going through some of the webpack example to use code splitting using requiredepsfn syntax', 'however i couldnt get the chunks lazyloaded', 'first of all i dont know where exactly i would need to import these chunks before angularjs would route the user to next page', 'i am struggling to find a clear separation of responsibility', 'did someone point me to an example angularjs application where webpack is used to load controllersdirectivesfilters asynchronously after each route', 'few of the links i am following should i use browserify or webpack for lazy loading of dependancies in angular 1x']","javascript,java,angularjs,lazy-loading,webpack"
['chrome automatically open devtools on network and perserve log'],"['i am using playwright for test automation', 'every test run creates a new instance of chromium', 'when i pass autoopendevtoolsfortabs it opens devtools as expected', 'but i need to go one step further and have checkbox perserve log enabled', 'tests are fast and i need to see requests before redirect']","python,google-chrome,webautomation,playwright,playwright-python"
['swiftui scrollview that drags bottom sheet with it'],"['im trying to create a swiftui scrollview that drags its container like this many apple apps use this apple maps music wallet etc but i havent found an easy way to do it wit swiftui', 'what do you think is the best way to implement this simply', 'ive looked at most libraries here but none of them implements their drawer with a scrollview in it that can drag the view', 'i also tried implementing a custom uiscrollview as uiviewrepresentable and i tried to tweak the scrollviewwillbegindragging but i could not make it work']","ios,swiftui,swiftui-list,swiftui-scrollview,draggesture"
['custom validation message in veevalidate'],"['i am using laravel 58 with vuejs', 'my question is about how to show a custom error message for a rule in the veevalidate library', 'my custom message for the required rule is not showing and instead it reads the firstname field is required', 'the expected message is please enter first name', 'below code is in appjs import validationprovider from veevalidatedistveevalidatefull this is my html component code', 'template div form roleform validationprovider namefirstname rulesrequired div slotscope errors input vmodelprofileformfirstname classformcontrol p errors0 p div validationprovider button typebutton clickvalidatebeforesubmitupdate profilebutton form div template below is my js script code script import localize from veevalidatedistveevalidatefull import en from veevalidatedistlocaleenjson export default data return profileform firstname custommessages en custom firstname required please enter first name created localizeen thiscustommessages methods validatebeforesubmit thisvalidatorvalidateall script am i missing anything']","laravel,vue.js,vue-component,laravel-5.8,vee-validate"
['performance impact of using cdi'],"['i am writing a java ee 6 web application and i am noticing a significant performance impact when using an injected object versus creating and using the object directly', 'the overhead appears to be of the order of 50 60ms per method call', 'for example using noninjected 150 method calls take approx 500ms whereas using the injected object 150 method calls take 12000 13000ms', 'an order of magnitude difference and then some', 'is this usual', 'i am running on jboss as 711 final which uses weld to handle cdi', 'the injected object is defined as a singleton bean via the javaxejbsingleton annotation', 'could this be causing part of the problem', 'or is it just the weld proxy causing the slow down']","java,java-ee-6,jboss7.x,cdi,jboss-weld"
['laravel 5 how to run a controller method from an artisan command'],"['i need some code from my controller to run every ten minutes', 'easy enough with scheduler and commands', 'ive created a command registered it with laravel scheduler in kernelphp and now i am unable to instantiate the controller', 'i know its a wrong way to approach this problem but i just needed a quick test', 'is there a way mind you a hacky way to accomplish this', 'thank you', 'update 1 the command php namespace appconsolecommands use illuminateconsolecommand use apphttpcontrollersstatscontroller class updateprofiles extends command the name and signature of the console command', ' var string protected signature updateprofiles the console command description', ' var string protected description updates profiles in database', ' create a new command instance', ' return void public function construct parentconstruct execute the console command', ' return mixed public function handle statscontrollerupdatestatstheprofilename updatestats method in statscontrollerphp public static function updatestatstheprofilename the body this returns a fatalerrorexception symfonycomponentdebugexceptionfatalerrorexception syntax error unexpected if tif update 2 turns out that ive had an typo in the updatestats method but the answer by alexeymezenin works like a charm', 'it is also enough to import the controller into the command use apphttpcontrollersstatscontroller and then initialize it as youd do normally public function handle statcontrol new statscontroller statcontrolupdatestatstheprofilename ']","php,laravel,controller,command,laravel-artisan"
['how do i limit php apps to their own directories and their own phpini'],"['i am running multiple php apps on my mac running os x 1056 apache 2 php 5 i have subdomains setup for each project a host file entries for each subdomain and virtual directory blocks in the apache config', 'so project1localhost goes to librarywebserverdocumentsproject1 project2localhost goes to librarywebserverdocumentsproject2 etc however this method doesnt really isolate the web apps', 'for example if i include a script like so php includeincludesincludephp it references the script from the base directory of my computer', 'so it accesses cincludesincludephp is there a way for me to make it reference clibrarywebserverdocumentsproject2includesincludephp basically make it so that its not aware of anything outside of its own directory', 'also is there a way to use phpinis on a per subdomain basis as well']","php,apache,include,subdomain,server-side-includes"
['how to expose c structs for computations to qml'],"['i have the following problem', 'i am developing a model in c and a view in qml connecting them via controllers', 'in my model i perform multiple calculations', 'i also offer users of my application the possibility to write custom event handlers written in qml', 'now i came across a point where i decided to use fixed point notation and i have written a corresponding c class', 'now i want offer the fixedpoint class including all its operators to developers who decide to extend my application in qml', 'so far i offered all data as qproperties which is required by coding guidelines', 'but i am open for other solutions to discuss them in my team', 'clearly a fixed point is no identity and algorithms rely on the possibility of copying it which is not allowed when inheriting from qobject', 'so the question arrives how can i expose a c class struct to qml which is not an identity', 'an example in code struct fixedpoint fixedpointfixedpoint fixedpoint operatorfixedpoint int mantissa int exponent i want to use it in qml as an property value of a qquickitem written in c myqmlobject value mantissa 134 exponent 3 the property value is then used throughout computations in javascript and is copied several times a long the way', 'so i cannot make value a property of type fixedpoint i think', 'am i right']","c++,qt,qml,qobject,qquickitem"
['shell vs processstart for executing external application'],"['i can open the windows calculator from my application in following ways using shell shellcwindowssystem32calcexe using processstart processstartcwindowssystem32calcexe open notepad application shellcwindowssystem32notepadexe appwinstylenormalfocus processstartcwindowssystem32notepadexe appwinstylenormalfocus can anyone tell me that what is the difference between these two calls', 'which one is the best practice']",".net,vb.net,windows,shell,process"
